Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9584.13
2,231.77,10200.9
3,233.85,10706.53
4,235.94,11041.4
5,238.02,11292.47
6,240.1,11446.17
7,242.18,11531.07
8,244.26,11581.37
9,246.34,11569.93
10,248.42,11477.83
11,250.5,11379.77
12,252.58,11281.23
13,254.66,11141.13
14,256.73,11027.23
15,258.8,10898.57
16,260.88,10804.3
17,262.95,10681.53
18,265.02,10596.83
19,267.09,10488.07
20,269.16,10395
21,271.23,10338.77
22,273.3,10227.33
23,275.37,10106.6
24,277.43,10009.83
25,279.5,9932.07
26,281.56,9820.53
27,283.63,9751.47
28,285.69,9639.27
29,287.75,9502.5
30,289.81,9382.7
31,291.87,9311.57
32,293.93,9244.97
33,295.99,9158.13
34,298.05,9078.43
35,300.1,8997.73
36,302.16,8929.03
37,304.21,8854.7
38,306.26,8837.07
39,308.32,8802.6
40,310.37,8754.93
41,312.42,8729.97
42,314.47,8709.87
43,316.52,8673.83
44,318.57,8689.7
45,320.61,8672.9
46,322.66,8662.57
47,324.7,8678.57
48,326.75,8711.07
49,328.79,8699.67
50,330.83,8666.9
51,332.88,8708.77
52,334.92,8717.23
53,336.96,8726.47
54,338.99,8741.13
55,341.03,8747
56,343.07,8774.83
57,345.11,8770.9
58,347.14,8831.77
59,349.17,8823.3
60,351.21,8844.6
61,353.24,8888.2
62,355.27,8930.93
63,357.3,8969.3
64,359.33,8920.8
65,361.36,8957
66,363.39,8960.87
67,365.41,9049.37
68,367.44,9090.23
69,369.47,9092.07
70,371.49,9115.2
71,373.51,9186.93
72,375.54,9244.97
73,377.56,9278
74,379.58,9360.53
75,381.6,9370.37
76,383.61,9431.97
77,385.63,9456.17
78,387.65,9520.93
79,389.66,9573.53
80,391.68,9638.43
81,393.69,9684.3
82,395.71,9741.07
83,397.72,9765.63
84,399.73,9835.5
85,401.74,9904.43
86,403.75,9967.3
87,405.76,10050.6
88,407.77,10115.73
89,409.77,10203.63
90,411.78,10241.6
91,413.78,10310.63
92,415.79,10380.73
93,417.79,10417.8
94,419.79,10486.03
95,421.79,10538.2
96,423.79,10607.83
97,425.79,10612.93
98,427.79,10667.73
99,429.79,10647.93
100,431.78,10732
101,433.78,10756.93
102,435.77,10799.5
103,437.77,10830.83
104,439.76,10889.13
105,441.75,10924.23
106,443.74,10975.5
107,445.73,11028.73
108,447.72,11103.47
109,449.71,11150.57
110,451.7,11156.5
111,453.68,11225.53
112,455.67,11281.53
113,457.65,11351.9
114,459.64,11386.4
115,461.62,11450.47
116,463.6,11461.47
117,465.58,11472.87
118,467.56,11537.53
119,469.54,11597.33
120,471.52,11673.93
121,473.49,11728.97
122,475.47,11747.13
123,477.44,11744.27
124,479.42,11790.8
125,481.39,11829.67
126,483.36,11871.8
127,485.34,11910.5
128,487.31,11856.57
129,489.28,11904.83
130,491.24,11830.27
131,493.21,11810.43
132,495.18,11789.93
133,497.14,11747.07
134,499.11,11707
135,501.07,11641.97
136,503.04,11625.4
137,505,11593
138,506.96,11628.4
139,508.92,11593.27
140,510.88,11617.27
141,512.84,11681.27
142,514.79,11745.83
143,516.75,11782.57
144,518.71,11828.27
145,520.66,11833.6
146,522.62,11852
147,524.57,11837.4
