Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,8717.5
2,231.77,9252.9
3,233.85,9714.77
4,235.94,10048.47
5,238.02,10269.5
6,240.1,10429.87
7,242.18,10511.67
8,244.26,10511.03
9,246.34,10477
10,248.42,10451.67
11,250.5,10362.23
12,252.58,10263.83
13,254.66,10181.93
14,256.73,10076.23
15,258.8,9960.53
16,260.88,9882.67
17,262.95,9777.23
18,265.02,9720.47
19,267.09,9644.53
20,269.16,9546.97
21,271.23,9475.27
22,273.3,9362.6
23,275.37,9347.73
24,277.43,9225.63
25,279.5,9139.8
26,281.56,9087.43
27,283.63,8963.43
28,285.69,8867.17
29,287.75,8796.5
30,289.81,8733.57
31,291.87,8637.63
32,293.93,8560.97
33,295.99,8484.57
34,298.05,8410.33
35,300.1,8336.23
36,302.16,8283.43
37,304.21,8248.9
38,306.26,8207.17
39,308.32,8200.2
40,310.37,8142.77
41,312.42,8135.73
42,314.47,8116.03
43,316.52,8075.97
44,318.57,8075.93
45,320.61,8121.43
46,322.66,8145.97
47,324.7,8098.17
48,326.75,8108.33
49,328.79,8123.27
50,330.83,8109.8
51,332.88,8136.17
52,334.92,8185.3
53,336.96,8198.47
54,338.99,8182.13
55,341.03,8170.43
56,343.07,8220.2
57,345.11,8260.97
58,347.14,8275
59,349.17,8342
60,351.21,8330.23
61,353.24,8319.13
62,355.27,8362.37
63,357.3,8418.47
64,359.33,8425.97
65,361.36,8455.3
66,363.39,8496.13
67,365.41,8539.03
68,367.44,8543.4
69,369.47,8586.5
70,371.49,8610.47
71,373.51,8647.93
72,375.54,8767.37
73,377.56,8779.87
74,379.58,8823.33
75,381.6,8843.5
76,383.61,8889.13
77,385.63,8965.47
78,387.65,8985.67
79,389.66,9073.33
80,391.68,9089.83
81,393.69,9133.07
82,395.71,9162.57
83,397.72,9261.73
84,399.73,9284.6
85,401.74,9357
86,403.75,9431.27
87,405.76,9494.87
88,407.77,9531.23
89,409.77,9636.2
90,411.78,9702.1
91,413.78,9760.93
92,415.79,9825.77
93,417.79,9863.3
94,419.79,9902.23
95,421.79,9898.4
96,423.79,9985.27
97,425.79,10025.43
98,427.79,10062.13
99,429.79,10096.13
100,431.78,10111.7
101,433.78,10125.77
102,435.77,10172.9
103,437.77,10228.33
104,439.76,10297.53
105,441.75,10375.17
106,443.74,10412.4
107,445.73,10416.93
108,447.72,10439.8
109,449.71,10516
110,451.7,10571
111,453.68,10629.83
112,455.67,10681.37
113,457.65,10697.13
114,459.64,10754.03
115,461.62,10818.17
116,463.6,10819.37
117,465.58,10843.2
118,467.56,10921.2
119,469.54,10980.33
120,471.52,11011.83
121,473.49,11055.3
122,475.47,11130.27
123,477.44,11151.1
124,479.42,11174.17
125,481.39,11224.2
126,483.36,11237.27
127,485.34,11259.87
128,487.31,11185
129,489.28,11216.2
130,491.24,11207.03
131,493.21,11177.37
132,495.18,11162.9
133,497.14,11121.03
134,499.11,11071.5
135,501.07,11038.53
136,503.04,10997.77
137,505,10961.33
138,506.96,10992.27
139,508.92,10990.8
140,510.88,10991.23
141,512.84,10965.53
142,514.79,11003.73
143,516.75,11060.9
144,518.71,11104.3
145,520.66,11138.9
146,522.62,11154.4
147,524.57,11123.87
148,526.52,11151.93
149,528.47,11152.97
150,530.42,11206.97
151,532.37,11277
152,534.32,11327
153,536.27,11340.93
154,538.21,11393.17
155,540.16,11417.63
156,542.1,11432.07
157,544.04,11417.87
158,545.99,11436.5
159,547.93,11422.6
160,549.87,11390.77
161,551.81,11369.23
162,553.75,11366.27
163,555.69,11367.4
164,557.62,11383.83
165,559.56,11417.77
166,561.49,11416.73
167,563.43,11452.57
168,565.36,11457.4
169,567.29,11505.6
170,569.23,11509.3
171,571.16,11563.33
172,573.09,11596.5
173,575.01,11597.47
174,576.94,11613.3
175,578.87,11644
176,580.79,11744.83
177,582.72,11789.4
178,584.64,11862.43
179,586.57,11931.07
180,588.49,12028.33
181,590.41,12086.1
182,592.33,12173.63
183,594.25,12323.2
184,596.17,12427.73
185,598.08,12585.97
186,600,12675.53
187,601.92,12854
188,603.83,13004.5
189,605.74,13184.83
190,607.66,13345.93
191,609.57,13564.63
192,611.48,13798.03
193,613.39,13937.67
194,615.3,14125.03
195,617.21,14348.3
196,619.11,14556
197,621.02,14781.63
198,622.92,15016.87
199,624.83,15182.3
200,626.73,15330.77
201,628.63,15575.97
202,630.53,15741.43
203,632.44,15935.57
204,634.33,16127.17
205,636.23,16308.1
206,638.13,16534.73
207,640.03,16700.7
208,641.92,17025.7
209,643.82,17182
210,645.71,17372.63
211,647.61,17570.33
212,649.5,17772.27
213,651.39,17975.8
214,653.28,18192.17
215,655.17,18401.73
216,657.06,18582.17
217,658.94,18787.6
218,660.83,19035.53
219,662.72,19187.57
220,664.6,19362.53
221,666.48,19566.07
222,668.37,19714.93
223,670.25,19900.7
224,672.13,20022.17
225,674.01,20170.2
226,675.89,20257
227,677.77,20323.3
228,679.64,20458.83
229,681.52,20552.07
230,683.39,20594.5
231,685.27,20695.9
232,687.14,20731.33
233,689.01,20772.17
234,690.88,20830.47
235,692.76,20899.5
236,694.62,20893.4
237,696.49,20947.4
238,698.36,20976.5
239,700.23,20950.03
240,702.09,20963.1
241,703.96,20928.93
242,705.82,20928.13
243,707.68,20911.7
244,709.55,20838.83
245,711.41,20744.63
246,713.27,20634.6
247,715.13,20559.17
248,716.99,20448.3
249,718.84,20391.43
250,720.7,20298.57
251,722.55,20253
252,724.41,20157.23
253,726.26,20133.87
254,728.11,20096.4
255,729.97,20097.97
256,731.82,20100.6
257,733.67,20114.6
258,735.52,20083.43
259,737.36,20025.8
260,739.21,19921.63
261,741.06,19824.03
262,742.9,19721.1
263,744.75,19592.37
264,746.59,19575.4
265,748.43,19499.3
266,750.27,19446.27
267,752.11,19381.5
268,753.95,19305.37
269,755.79,19291.03
270,757.63,19223.97
271,759.46,19193.23
272,761.3,19107.67
273,763.13,19036.63
274,764.97,19041.83
275,766.8,18988.87
276,768.63,18929.6
277,770.46,18939.33
278,772.29,18909.3
279,774.12,18869.27
280,775.95,18837.73
281,777.78,18829.93
282,779.6,18853.33
283,781.43,18838.7
284,783.25,18811.77
285,785.08,18825.13
286,786.9,18780.33
287,788.72,18762.2
288,790.54,18738.5
289,792.36,18701.4
290,794.18,18650.93
291,796,18652.97
292,797.81,18582.3
293,799.63,18545.5
294,801.44,18489.93
295,803.26,18495.63
296,805.07,18479.6
297,806.88,18487.53
298,808.69,18504.3
299,810.5,18485.77
300,812.31,18469.47
301,814.12,18470.83
302,815.93,18499.37
303,817.74,18488.2
304,819.54,18506.4
305,821.35,18465.03
306,823.15,18378.57
307,824.95,18362.6
308,826.75,18413.77
309,828.55,18350.3
310,830.35,18354.77
311,832.15,18338
312,833.95,18362.3
313,835.75,18325.83
314,837.54,18357.27
315,839.34,18401.83
316,841.13,18442.6
317,842.92,18484.83
318,844.72,18526.93
319,846.51,18516.63
320,848.3,18526.2
321,850.09,18493.53
322,851.88,18502.3
323,853.66,18483.17
324,855.45,18415.37
325,857.24,18342.7
326,859.02,18217.13
327,860.8,18163.33
328,862.59,18117.63
329,864.37,18038.63
330,866.15,17984.6
331,867.93,17895.43
332,869.71,17791.53
333,871.49,17675.2
334,873.26,17599.87
335,875.04,17532.97
336,876.81,17405.4
337,878.59,17354.23
338,880.36,17257.37
339,882.13,17122.1
340,883.9,17041.87
341,885.68,17003.87
342,887.44,16916.47
343,889.21,16893.07
344,890.98,16821.43
345,892.75,16727.47
346,894.51,16632.53
347,896.28,16581.83
348,898.04,16528.13
349,899.8,16473.07
350,901.57,16459.6
351,903.33,16394.43
352,905.09,16316.5
353,906.85,16280.13
354,908.6,16269.1
355,910.36,16219.3
356,912.12,16177.63
357,913.87,16173.6
358,915.63,16157.37
359,917.38,16125.23
360,919.13,16096.57
361,920.88,16101.23
362,922.63,16132.47
363,924.38,16139.47
364,926.13,16141.37
365,927.88,16142.67
366,929.63,16103.27
367,931.37,16151.43
368,933.12,16148.3
369,934.86,16118.1
370,936.6,16113.63
371,938.35,16077.27
372,940.09,16068.07
373,941.83,16044.93
374,943.57,16025.73
375,945.3,16001.17
376,947.04,15998.6
377,948.78,16001.87
378,950.51,15933.17
379,952.25,15915.27
380,953.98,15854
381,955.71,15818.33
382,957.44,15743.47
383,959.17,15747.2
384,960.9,15675.57
385,962.63,15658.23
386,964.36,15522.87
387,966.09,15519.7
388,967.81,15434.03
389,969.54,15381.8
390,971.26,15343.27
391,972.98,15284.23
392,974.71,15219.6
393,976.43,15176.47
394,978.15,15135.03
395,979.87,15110.83
396,981.58,15085.8
397,983.3,15052.7
398,985.02,14982.2
399,986.73,14898.7
400,988.45,14936.93
401,990.16,14897.17
402,991.87,14871.47
403,993.59,14940.2
404,995.3,15021
405,997.01,15133.67
406,998.71,15243.33
407,1000.42,15337.9
408,1002.13,15245.23
409,1003.83,15067.63
410,1005.54,14844.5
411,1007.24,14554.13
412,1008.95,14338.43
413,1010.65,14155.2
414,1012.35,14041.6
415,1014.05,13926.93
416,1015.75,13881.53
417,1017.45,13811.37
418,1019.14,13783.6
419,1020.84,13727.2
420,1022.54,13727.67
421,1024.23,13697.97
422,1025.92,13688.7
423,1027.62,13655.73
424,1029.31,13612.93
425,1031,13564.4
426,1032.69,13512.37
427,1034.38,13467.27
428,1036.06,13453.57
429,1037.75,13443.13
430,1039.44,13400.77
431,1041.12,13428.33
432,1042.81,13361.1
433,1044.49,13366.07
434,1046.17,13336.57
435,1047.85,13275.07
436,1049.53,13238.17
437,1051.21,13162.73
438,1052.89,13128.67
439,1054.57,12994.83
440,1056.24,12935.7
441,1057.92,12852.67
442,1059.59,12718.73
443,1061.27,12670.5
444,1062.94,12541.1
445,1064.61,12423.1
446,1066.28,12314.87
447,1067.95,12188.13
448,1069.62,12106.8
449,1071.29,12015.97
450,1072.95,11947.67
451,1074.62,11850.27
452,1076.29,11760.8
453,1077.95,11763.73
454,1079.61,11692.73
455,1081.27,11632.13
456,1082.94,11626.77
457,1084.6,11563.97
458,1086.26,11532.73
459,1087.91,11471.13
460,1089.57,11421.07
461,1091.23,11414.17
462,1092.88,11373.1
463,1094.54,11331.83
464,1096.19,11242.37
465,1097.84,11139.23
466,1099.49,11089.17
467,1101.15,11080.2
468,1102.79,11012.7
469,1104.44,11056.17
470,1106.09,11022.3
471,1107.74,11001.7
472,1109.38,10942.53
473,1111.03,10955.2
474,1112.67,10962.4
475,1114.32,10934.73
476,1115.96,10942.13
477,1117.6,10894.13
478,1119.24,10855.33
479,1120.88,10871.97
480,1122.52,10814.8
481,1124.15,10813.3
482,1125.79,10775.33
483,1127.43,10737.17
484,1129.06,10673.03
485,1130.69,10623.07
486,1132.33,10614.53
487,1133.96,10609.03
488,1135.59,10551.53
489,1137.22,10549.03
490,1138.85,10482.1
491,1140.47,10447.7
492,1142.1,10398.8
493,1143.73,10355.33
494,1145.35,10318.57
495,1146.98,10300.4
496,1148.6,10301.43
497,1150.22,10239.67
498,1151.84,10163.73
499,1153.46,10175.97
500,1155.08,10118.17
501,1156.7,10087.87
502,1158.32,10071.93
503,1159.93,10062.17
504,1161.55,9992
505,1163.16,9933
506,1164.78,9946.3
507,1166.39,9933.33
508,1168,9899.1
509,1169.61,9906.33
510,1171.22,9833.03
511,1172.83,9772.8
512,1174.44,9733.57
513,1176.04,9686.37
514,1177.65,9614.4
515,1179.26,9597.47
516,1180.86,9560.7
517,1182.46,9519.3
518,1184.06,9423.7
519,1185.67,9396.73
520,1187.27,9380.27
521,1188.86,9343.07
522,1190.46,9341.6
523,1192.06,9339.53
524,1193.66,9305.07
525,1195.25,9219.37
526,1196.85,9233.8
527,1198.44,9179.87
528,1200.03,9153
529,1201.62,9153.93
530,1203.21,9125.33
531,1204.8,9053.87
532,1206.39,9037.07
533,1207.98,8981.7
534,1209.57,8946.53
535,1211.15,8938.63
536,1212.74,8870.97
537,1214.32,8833.43
538,1215.91,8736.1
539,1217.49,8709.77
540,1219.07,8636.53
541,1220.65,8594.8
542,1222.23,8556.43
543,1223.81,8503.23
544,1225.38,8442.63
545,1226.96,8362.1
546,1228.53,8316.6
547,1230.11,8288.27
548,1231.68,8212.87
549,1233.25,8174.37
550,1234.83,8132.07
551,1236.4,8055.3
552,1237.97,8024.77
553,1239.54,7982.63
554,1241.1,7912.23
555,1242.67,7902.63
556,1244.24,7843.47
557,1245.8,7757.87
558,1247.36,7693.53
559,1248.93,7639.83
560,1250.49,7609.43
561,1252.05,7566.6
562,1253.61,7511.8
563,1255.17,7431.2
564,1256.73,7355.33
565,1258.28,7291.33
566,1259.84,7238.53
567,1261.4,7197.77
568,1262.95,7172.63
569,1264.5,7084.83
570,1266.06,7023.9
571,1267.61,6934.7
572,1269.16,6918.17
573,1270.71,6862.93
574,1272.26,6805.97
575,1273.8,6771.83
576,1275.35,6726.03
577,1276.9,6662.23
578,1278.44,6631.67
579,1279.99,6603.47
580,1281.53,6531.93
581,1283.07,6479.67
582,1284.61,6445.5
583,1286.15,6406.8
584,1287.69,6357.17
585,1289.23,6299.77
586,1290.77,6228.23
587,1292.3,6164.83
588,1293.84,6118
589,1295.37,6053.43
590,1296.9,6001.37
591,1298.44,5949.63
592,1299.97,5910.13
593,1301.5,5843.57
594,1303.03,5808.33
595,1304.56,5774.4
596,1306.08,5716.1
597,1307.61,5642.37
598,1309.14,5631.5
599,1310.66,5573.37
600,1312.19,5533.37
601,1313.71,5507.7
602,1315.23,5485.7
603,1316.75,5439.53
604,1318.27,5337.17
605,1319.79,5328.83
606,1321.31,5306.83
607,1322.83,5232.5
608,1324.34,5234.13
609,1325.86,5160.2
610,1327.37,5118.67
611,1328.88,5049.73
612,1330.4,5006
613,1331.91,4988.77
614,1333.42,4930.73
615,1334.93,4913.17
616,1336.44,4866.73
617,1337.94,4801.9
618,1339.45,4756.73
619,1340.96,4705.33
620,1342.46,4702.53
621,1343.97,4664.67
622,1345.47,4619.87
623,1346.97,4559.3
624,1348.47,4497.8
625,1349.97,4471.97
626,1351.47,4441.63
627,1352.97,4423.23
628,1354.46,4412.93
629,1355.96,4351.7
630,1357.46,4326.53
631,1358.95,4303.6
632,1360.44,4256.63
633,1361.94,4225.17
634,1363.43,4209.97
635,1364.92,4221.97
636,1366.41,4144.63
637,1367.9,4102.73
638,1369.38,4118.23
639,1370.87,4058.93
640,1372.36,4058.27
641,1373.84,4064.2
642,1375.32,4027.7
643,1376.81,3988.83
644,1378.29,3958.83
645,1379.77,3971.77
646,1381.25,3961
647,1382.73,3955.23
648,1384.21,3961.03
649,1385.68,3925.37
650,1387.16,3860.77
651,1388.63,3819.8
652,1390.11,3828.3
653,1391.58,3814.6
654,1393.05,3787.57
655,1394.53,3770.23
656,1396,3756.97
657,1397.46,3703.87
658,1398.93,3705.5
659,1400.4,3671.27
660,1401.87,3700.57
661,1403.33,3703.47
662,1404.8,3691.13
663,1406.26,3652.33
664,1407.72,3640.37
665,1409.19,3631.47
666,1410.65,3612.77
667,1412.11,3632.27
668,1413.57,3610.73
669,1415.02,3598.97
670,1416.48,3561.63
671,1417.94,3551.47
672,1419.39,3538.73
673,1420.85,3513
674,1422.3,3558.5
675,1423.75,3505
676,1425.2,3491.27
677,1426.65,3509.17
678,1428.1,3569.63
679,1429.55,3474.2
680,1431,3446.03
681,1432.44,3448.07
682,1433.89,3423.43
683,1435.33,3421.5
684,1436.78,3400.27
685,1438.22,3391.23
686,1439.66,3364.47
687,1441.1,3366.03
688,1442.54,3379.97
689,1443.98,3352.33
690,1445.42,3351.93
691,1446.86,3340.5
692,1448.29,3335.73
693,1449.73,3325.3
694,1451.16,3368.53
695,1452.59,3371.47
696,1454.03,3383.73
697,1455.46,3368.53
698,1456.89,3406.57
699,1458.32,3421.23
700,1459.75,3459.7
701,1461.17,3472.4
702,1462.6,3479.47
703,1464.02,3466.87
704,1465.45,3471.43
705,1466.87,3440.87
706,1468.3,3445.93
707,1469.72,3441.9
708,1471.14,3411.27
709,1472.56,3391.7
710,1473.98,3333.7
711,1475.39,3341.13
712,1476.81,3287.07
713,1478.23,3267.17
714,1479.64,3210.23
715,1481.06,3166.7
716,1482.47,3142.5
717,1483.88,3111.47
718,1485.29,3091.57
719,1486.7,3087.6
720,1488.11,3041.67
721,1489.52,3065.2
722,1490.93,3034.57
723,1492.33,2997.4
724,1493.74,2999.8
725,1495.14,3048.1
726,1496.55,3039.53
727,1497.95,3033.63
728,1499.35,2998
729,1500.75,2976.97
730,1502.15,2984.97
731,1503.55,2997.33
732,1504.95,2996.37
733,1506.34,2953.97
734,1507.74,2971.4
735,1509.14,2962.6
736,1510.53,2940.33
737,1511.92,2944.63
738,1513.31,2943.3
739,1514.71,2956.8
740,1516.1,2950.53
741,1517.48,2960.3
742,1518.87,2945.67
743,1520.26,2919.47
744,1521.65,2920.3
745,1523.03,2908.4
746,1524.42,2904.4
747,1525.8,2930.13
748,1527.18,2900.27
749,1528.56,2931.8
750,1529.94,2893.17
751,1531.32,2889.6
752,1532.7,2912.8
753,1534.08,2876.5
754,1535.46,2900.2
755,1536.83,2884.27
756,1538.21,2898.57
757,1539.58,2884.87
758,1540.95,2863.67
759,1542.33,2864.93
760,1543.7,2873.2
761,1545.07,2867.5
762,1546.44,2851.07
763,1547.81,2849.27
764,1549.17,2875.2
765,1550.54,2867.67
766,1551.9,2889.67
767,1553.27,2876.13
768,1554.63,2876.47
769,1555.99,2871.63
770,1557.36,2860.43
771,1558.72,2862.77
772,1560.08,2892.8
773,1561.43,2861.63
774,1562.79,2899
775,1564.15,2894.47
776,1565.5,2881.03
777,1566.86,2859.33
778,1568.21,2901.83
779,1569.57,2863.83
780,1570.92,2871.93
781,1572.27,2901.1
782,1573.62,2897.83
783,1574.97,2882.37
784,1576.32,2885.37
785,1577.66,2909.5
786,1579.01,2913.33
787,1580.35,2951.2
788,1581.7,2942.9
789,1583.04,2909.63
790,1584.38,2937.93
791,1585.73,2960.5
792,1587.07,2994.53
793,1588.41,3038.53
794,1589.74,3049.8
795,1591.08,3056.47
796,1592.42,3036.37
797,1593.75,3049.9
798,1595.09,3053.57
799,1596.42,3103.47
800,1597.76,3093.47
801,1599.09,3118.47
802,1600.42,3126.5
803,1601.75,3086.63
