Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9605.6
2,231.77,10225.27
3,233.85,10698.9
4,235.94,11082.63
5,238.02,11319.2
6,240.1,11476.77
7,242.18,11566.17
8,244.26,11577.43
9,246.34,11564.1
10,248.42,11491.63
11,250.5,11394.17
12,252.58,11263.93
13,254.66,11160.23
14,256.73,11044.17
15,258.8,10923.13
16,260.88,10823.67
17,262.95,10681.77
18,265.02,10631.37
19,267.09,10533.5
20,269.16,10431.27
21,271.23,10333.3
22,273.3,10251.87
23,275.37,10164.33
24,277.43,10067.07
25,279.5,9986.47
26,281.56,9855.87
27,283.63,9756.33
28,285.69,9684.63
29,287.75,9588.43
30,289.81,9486.7
31,291.87,9410.87
32,293.93,9297.37
33,295.99,9207.07
34,298.05,9150.77
35,300.1,9063.03
36,302.16,9022.7
37,304.21,8959.37
38,306.26,8916.1
39,308.32,8887.3
40,310.37,8841.63
41,312.42,8846.57
42,314.47,8801.97
43,316.52,8781.73
44,318.57,8749.23
45,320.61,8799.37
46,322.66,8794.03
47,324.7,8789.63
48,326.75,8775.3
49,328.79,8841.5
50,330.83,8847.33
51,332.88,8808.2
52,334.92,8851.37
53,336.96,8875.97
54,338.99,8910.17
55,341.03,8907.97
56,343.07,8905.6
57,345.11,8932
58,347.14,8938.17
59,349.17,8990.43
60,351.21,8984.87
61,353.24,9025.9
62,355.27,9019.4
63,357.3,9087.73
64,359.33,9107.83
65,361.36,9116.93
66,363.39,9161
67,365.41,9200.5
68,367.44,9246.1
69,369.47,9295.8
70,371.49,9336.2
71,373.51,9308.43
72,375.54,9420.83
73,377.56,9453.83
74,379.58,9504.97
75,381.6,9576
76,383.61,9573.23
77,385.63,9645.17
78,387.65,9697.53
79,389.66,9739.5
80,391.68,9808.73
81,393.69,9844.33
82,395.71,9913.43
83,397.72,9989.17
84,399.73,10034.53
85,401.74,10097.4
86,403.75,10134.8
87,405.76,10232.57
88,407.77,10291
89,409.77,10361.37
90,411.78,10447.8
91,413.78,10496.1
92,415.79,10559.93
93,417.79,10610.77
94,419.79,10663.9
95,421.79,10713.63
96,423.79,10733.1
97,425.79,10779.43
98,427.79,10808.3
99,429.79,10842.77
100,431.78,10893.63
101,433.78,10959.93
102,435.77,10978.17
103,437.77,11014.23
104,439.76,11053.67
105,441.75,11103.9
106,443.74,11161.67
107,445.73,11240.37
108,447.72,11264.9
109,449.71,11314.13
110,451.7,11356.63
111,453.68,11424.37
112,455.67,11453.4
113,457.65,11503.93
114,459.64,11551.13
115,461.62,11618.33
116,463.6,11648.17
117,465.58,11680.9
118,467.56,11724.97
119,469.54,11766.67
120,471.52,11819.47
121,473.49,11878.6
122,475.47,11948.27
123,477.44,11987.73
124,479.42,11994.2
125,481.39,12025.63
126,483.36,12043.5
127,485.34,12081
128,487.31,12061.07
129,489.28,12031.3
130,491.24,12054.4
131,493.21,11969.37
132,495.18,11959.47
133,497.14,11900.63
134,499.11,11859.8
135,501.07,11864.8
136,503.04,11810.43
137,505,11749.6
138,506.96,11740
139,508.92,11768.77
140,510.88,11785.6
141,512.84,11797.47
142,514.79,11857.97
143,516.75,11879.27
144,518.71,11924.1
145,520.66,11935.83
146,522.62,11997.73
147,524.57,12017.83
148,526.52,12059.1
149,528.47,12044.5
150,530.42,12091.4
151,532.37,12135.67
152,534.32,12222.9
153,536.27,12187.2
154,538.21,12292.07
155,540.16,12303.47
156,542.1,12288.47
157,544.04,12269.5
158,545.99,12249.17
159,547.93,12227.1
160,549.87,12204.3
161,551.81,12171.5
162,553.75,12150.5
163,555.69,12118.57
164,557.62,12143.43
165,559.56,12178.4
166,561.49,12147.93
167,563.43,12199.63
168,565.36,12210.73
169,567.29,12243
170,569.23,12266.77
171,571.16,12304.4
172,573.09,12372.9
173,575.01,12384.1
174,576.94,12414.2
175,578.87,12439.23
176,580.79,12466.67
177,582.72,12533.37
178,584.64,12607.63
179,586.57,12665.2
180,588.49,12729.53
181,590.41,12854.63
182,592.33,12933.43
183,594.25,13058.93
184,596.17,13190.2
185,598.08,13301.17
186,600,13446.97
187,601.92,13681.7
188,603.83,13844.93
189,605.74,13996.5
190,607.66,14170.67
191,609.57,14379.63
192,611.48,14582
193,613.39,14804.47
194,615.3,15080.67
195,617.21,15266.97
196,619.11,15505.43
197,621.02,15697.43
198,622.92,15951.17
199,624.83,16143.2
200,626.73,16315.5
201,628.63,16515.67
202,630.53,16667.37
203,632.44,16855.03
204,634.33,17050.6
205,636.23,17260.83
206,638.13,17490.37
207,640.03,17614.87
208,641.92,18006.77
209,643.82,18164.67
210,645.71,18367.87
211,647.61,18546.63
212,649.5,18754.77
213,651.39,18964.8
214,653.28,19183.23
215,655.17,19394.93
216,657.06,19584.7
217,658.94,19823.37
218,660.83,20044.77
219,662.72,20216.63
220,664.6,20433.43
221,666.48,20626.63
222,668.37,20761.7
223,670.25,20930.27
224,672.13,21059.4
225,674.01,21212.2
226,675.89,21328.2
227,677.77,21395.27
228,679.64,21506.73
229,681.52,21589.33
230,683.39,21624.67
231,685.27,21718.93
232,687.14,21764.47
233,689.01,21784.63
234,690.88,21848.73
235,692.76,21881.33
236,694.62,21894.6
237,696.49,21895.97
238,698.36,21918.67
239,700.23,21926.97
240,702.09,21912.53
241,703.96,21845.87
242,705.82,21826.23
243,707.68,21810.53
244,709.55,21738.3
245,711.41,21681.27
246,713.27,21584.5
247,715.13,21522.63
248,716.99,21385.47
249,718.84,21293.7
250,720.7,21191.83
251,722.55,21148.43
252,724.41,21037.7
253,726.26,21017.57
254,728.11,21008.6
255,729.97,21023.7
256,731.82,21007.2
257,733.67,21019.03
258,735.52,21037.23
259,737.36,20974.87
260,739.21,20897.07
261,741.06,20767.13
262,742.9,20634.53
263,744.75,20490.57
264,746.59,20434.57
265,748.43,20335
266,750.27,20277.47
267,752.11,20263.27
268,753.95,20139.67
269,755.79,20080.77
270,757.63,20036.6
271,759.46,20005.77
272,761.3,19920.1
273,763.13,19886.17
274,764.97,19856.33
275,766.8,19808.43
276,768.63,19717.93
277,770.46,19715.47
278,772.29,19678.63
279,774.12,19634.37
280,775.95,19668.5
281,777.78,19626.07
282,779.6,19614.83
283,781.43,19565.2
284,783.25,19556.8
285,785.08,19554.27
286,786.9,19514.3
287,788.72,19505.5
288,790.54,19507.57
289,792.36,19473.07
290,794.18,19429.23
291,796,19432.13
292,797.81,19372.77
293,799.63,19348.9
294,801.44,19319.93
295,803.26,19296.8
296,805.07,19311.8
297,806.88,19308.87
298,808.69,19329.7
299,810.5,19378.53
300,812.31,19403.67
301,814.12,19454.9
302,815.93,19466.23
303,817.74,19462.87
304,819.54,19424.03
305,821.35,19397.9
306,823.15,19319.57
307,824.95,19287.47
308,826.75,19275.13
309,828.55,19195.7
310,830.35,19196.67
311,832.15,19211.83
312,833.95,19204.57
313,835.75,19155.57
314,837.54,19193.33
315,839.34,19197.9
316,841.13,19236.3
317,842.92,19249.33
318,844.72,19296.1
319,846.51,19318.27
320,848.3,19322.63
321,850.09,19280.77
322,851.88,19277.77
323,853.66,19246.43
324,855.45,19193.43
325,857.24,19070.43
326,859.02,18990.93
327,860.8,18913.3
328,862.59,18821.13
329,864.37,18703.03
330,866.15,18620.9
331,867.93,18562.33
332,869.71,18423.87
