Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9529
2,231.77,10127.17
3,233.85,10648.3
4,235.94,11043.8
5,238.02,11278.47
6,240.1,11469.8
7,242.18,11555.73
8,244.26,11564.3
9,246.34,11540.8
10,248.42,11487.67
11,250.5,11380.8
12,252.58,11278.43
13,254.66,11161.13
14,256.73,11035.67
15,258.8,10908.37
16,260.88,10817.93
17,262.95,10695.37
18,265.02,10632.53
19,267.09,10548.2
20,269.16,10444.9
21,271.23,10364.33
22,273.3,10248.37
23,275.37,10203.33
24,277.43,10074.5
25,279.5,9972.93
26,281.56,9889.07
27,283.63,9780.27
28,285.69,9677.87
29,287.75,9580.23
30,289.81,9497.6
31,291.87,9398.47
32,293.93,9329.93
33,295.99,9226.67
34,298.05,9163.53
35,300.1,9057.53
36,302.16,9025.23
37,304.21,8978.43
38,306.26,8917.73
39,308.32,8905.63
40,310.37,8852.5
41,312.42,8837.9
42,314.47,8812.23
43,316.52,8785.5
44,318.57,8773.1
45,320.61,8810.17
46,322.66,8830.73
47,324.7,8790.83
48,326.75,8811.3
49,328.79,8830.27
50,330.83,8803.53
51,332.88,8825.07
52,334.92,8865.97
53,336.96,8888.3
54,338.99,8883.87
55,341.03,8862
56,343.07,8906.73
57,345.11,8923
58,347.14,8966.6
59,349.17,9000.37
60,351.21,9010.4
61,353.24,8994.2
62,355.27,9038.6
63,357.3,9072.83
64,359.33,9078.6
65,361.36,9110.33
66,363.39,9145.93
67,365.41,9191.17
68,367.44,9192.43
69,369.47,9233.4
70,371.49,9279.23
71,373.51,9314.17
72,375.54,9425.7
73,377.56,9446.43
74,379.58,9488.9
75,381.6,9509.17
76,383.61,9580.1
77,385.63,9639.33
78,387.65,9682.4
79,389.66,9750.07
80,391.68,9789.83
81,393.69,9832.63
82,395.71,9884.07
83,397.72,9962.83
84,399.73,10010.93
85,401.74,10077.03
86,403.75,10183.53
87,405.76,10274.63
88,407.77,10294.8
89,409.77,10404.1
90,411.78,10490.97
91,413.78,10575.77
92,415.79,10628.97
93,417.79,10673.6
94,419.79,10715.37
95,421.79,10728.6
96,423.79,10796.8
97,425.79,10838.63
98,427.79,10882.77
99,429.79,10909.03
100,431.78,10931.6
101,433.78,10935.13
102,435.77,10997.73
103,437.77,11047.57
104,439.76,11108.13
105,441.75,11195.37
106,443.74,11241.17
107,445.73,11253.9
108,447.72,11265.67
109,449.71,11339.37
110,451.7,11404.7
111,453.68,11450.33
112,455.67,11496.27
113,457.65,11541.27
